;LOPE_AmorConVista(1626)cate;LOPE_AmorPleitoYDesafio(1621)cate;LOPE_AyVerdadesQueEnAmor(1625)cate;LOPE_BastardoMudarra(1612)cate;LOPE_BatallaDelHonor(1608)cate;LOPE_Benavides(1600)cate;LOPE_BizarriasDeBelisa(1634)cate;LOPE_BrasilRestituido(1625)cate;LOPE_BuenaGuarda(1610)cate;LOPE_BurgalesaDeLerma(1613)cate;LOPE_CaballeroDelSacramento(1610)cate;LOPE_CardenalDeBelen(1610)cate;LOPE_CarlosQuintoEnFrancia(1604)cate;LOPE_CastigoSinVenganza(1631)cate;LOPE_CoronaDeHungria(1623)cate;LOPE_CoronaMerecida(1603)cate;LOPE_CuerdoLoco(1602)cate;LOPE_DamaBoba(1613)cate;LOPE_DelMonteSale(1627)cate;LOPE_DesdenVengado(1617)cate;LOPE_DiscordiaEnLosCasados(1611)cate;LOPE_EstefaniaLaDesdichada(1604)cate;LOPE_FavorAgradecido(1593)cate;LOPE_GalanDeLaMembrilla(1615)cate;LOPE_HermosaEster(1610)cate;LOPE_LoQuePasaEnUnaTarde(1617)cate;LOPE_MarquesDeLasNavas(1624)cate;LOPE_MasPuedenCelos(1627)cate;LOPE_MayorVictoriaDeAlemania(1622)cate;LOPE_NinezDelPadreRojas(1625)cate;LOPE_PedroCarbonero(1603)cate;LOPE_PoderEnElDiscreto(1623)cate;LOPE_PrincipeDespenado(1602)cate;LOPE_PruebaDeLosAmigos(1604)cate;LOPE_QuienMasNoPuede(1616)cate;LOPE_SantiagoElVerde(1615)cate;LOPE_SembrarEnBuenaTierra(1616)cate;LOPE_SinSecretoNoHayAmor(1626)cate
sp;11,010830;11,607669;11,300854;11,773682;11,008286;11,147134;12,717708;13,183060;11,256987;12,170512;11,653873;13,095973;12,745913;11,313631;11,513009;11,182068;11,136680;10,932636;11,178687;10,733644;11,832801;12,441458;11,467136;11,533806;12,214884;10,998562;11,510232;12,410033;12,106674;11,535530;11,643930;11,136845;10,886873;10,707233;10,945625;10,915118;11,061766;11,287167
ncms000;8,102688;8,682850;7,641530;8,599854;8,613077;10,698655;8,338665;9,895833;8,683219;8,661640;9,592083;10,461686;10,376836;9,028772;8,399759;9,489750;9,410767;8,448512;8,422027;8,660028;8,810462;9,366728;9,870892;9,216670;10,226731;8,541367;8,876608;9,814613;9,524481;8,410265;9,859446;9,085495;9,948775;8,072081;8,955511;8,736830;8,212626;9,598331
nc000;8,938361;9,788654;9,413791;9,716797;8,933648;7,353974;9,618255;9,520150;8,267256;8,627629;9,376388;8,911299;8,277916;8,937638;9,347270;9,144901;8,393387;8,193251;9,228532;8,407916;8,779175;9,536415;8,415493;8,156090;8,687955;8,116586;8,522580;8,964013;9,757302;10,154993;9,625189;8,079672;9,269888;7,498149;9,700199;8,369835;9,319486;7,792123
cs;5,809600;5,385068;5,158929;4,632568;5,165427;5,208840;4,926424;3,722678;5,063044;5,203787;4,770665;4,122933;4,253256;5,376904;4,714995;4,840667;4,596379;5,204831;5,473656;5,685113;4,768162;4,513677;4,606808;5,222203;4,813781;5,417592;4,395130;5,030898;4,846903;4,997036;4,127050;5,472472;4,579399;4,579116;5,199974;5,368770;5,206341;5,196922
rg;4,058029;3,991363;4,570568;4,022217;5,038408;3,901227;4,194213;3,679986;4,380606;4,325152;3,952293;3,491802;3,685231;4,302825;4,241239;4,259531;4,136135;4,675632;4,343227;4,613639;4,111132;4,228602;4,284038;4,305724;3,676721;4,234741;4,749158;3,874955;4,099055;4,031507;3,830784;4,102700;4,147380;5,362873;4,256275;4,469042;4,714403;4,381847
cc;3,864153;3,762350;3,228815;3,686523;3,399262;4,301075;3,888533;3,901981;4,211621;3,939686;3,882510;4,136654;3,927681;4,061971;3,850203;3,889137;4,021074;3,766654;3,107027;3,825791;3,973468;3,753479;4,753521;3,648625;4,044393;3,594301;3,617995;4,340240;4,007337;3,743542;3,651647;3,606406;3,505524;3,610220;3,948129;3,865278;3,826182;3,931925
vmip3s0;3,803984;3,173461;3,867403;3,643799;3,907337;3,366294;3,909860;3,406762;3,880151;3,610906;3,590687;3,382040;3,338875;3,437052;3,624605;4,227601;3,639557;4,576018;3,986250;4,279592;3,760716;3,325867;3,433099;3,850366;4,098863;3,868775;3,989293;3,569611;3,337096;3,684255;3,989252;4,188724;3,412948;4,572945;3,973808;3,545638;3,976496;4,192749
da0ms0;2,500334;2,702349;2,418024;3,186035;3,320631;3,625655;2,971494;3,586066;2,690758;2,681254;3,806382;3,779927;3,796065;3,567244;3,060611;3,212210;3,512384;2,820321;3,067363;2,981218;3,172517;3,061155;3,515258;3,187504;4,221420;2,346099;2,754512;3,845874;3,576972;2,625561;3,376051;3,096877;3,616614;2,598124;3,318996;2,657748;2,514348;3,195097
vmn0000;3,182244;3,029510;3,975030;2,557373;2,866993;2,847571;3,149214;2,740779;2,716755;2,771952;2,727907;1,907114;2,521474;2,987892;2,872612;2,669391;2,676679;3,112937;3,073974;3,668221;2,991052;2,382407;2,840376;3,256672;2,750732;3,091099;3,428029;2,675391;2,553972;2,888117;3,844564;3,579936;2,573597;2,795606;2,940232;3,575234;3,218092;3,651539
ncmp000;2,199492;2,277040;2,418024;3,240967;2,455695;2,069487;2,971494;2,766393;2,534772;3,219772;2,150606;2,627427;3,124134;2,375993;3,075650;2,094642;2,313329;2,459221;2,333576;2,388756;2,915963;2,511369;1,924883;2,858954;2,812011;2,823160;2,331405;2,311887;2,977282;2,540866;2,783519;1,991795;1,888539;2,400642;2,150607;2,551202;2,623668;2,021388
