;LOPE_AmorConVista(1626);LOPE_AmorPleitoYDesafio(1621);LOPE_AyVerdadesQueEnAmor(1625);LOPE_BastardoMudarra(1612);LOPE_BatallaDelHonor(1608);LOPE_Benavides(1600);LOPE_BizarriasDeBelisa(1634);LOPE_BrasilRestituido(1625);LOPE_BuenaGuarda(1610);LOPE_BurgalesaDeLerma(1613);LOPE_CaballeroDelSacramento(1610);LOPE_CardenalDeBelen(1610);LOPE_CarlosQuintoEnFrancia(1604);LOPE_CastigoSinVenganza(1631);LOPE_CoronaDeHungria(1623);LOPE_CoronaMerecida(1603);LOPE_CuerdoLoco(1602);LOPE_DamaBoba(1613);LOPE_DelMonteSale(1627);LOPE_DesdenVengado(1617);LOPE_DiscordiaEnLosCasados(1611);LOPE_EstefaniaLaDesdichada(1604);LOPE_FavorAgradecido(1593);LOPE_GalanDeLaMembrilla(1615);LOPE_HermosaEster(1610);LOPE_LoQuePasaEnUnaTarde(1617);LOPE_MarquesDeLasNavas(1624);LOPE_MasPuedenCelos(1627);LOPE_MayorVictoriaDeAlemania(1622);LOPE_NinezDelPadreRojas(1625);LOPE_PedroCarbonero(1603);LOPE_PoderEnElDiscreto(1623);LOPE_PrincipeDespenado(1602);LOPE_PruebaDeLosAmigos(1604);LOPE_QuienMasNoPuede(1616);LOPE_SantiagoElVerde(1615);LOPE_SembrarEnBuenaTierra(1616);LOPE_SinSecretoNoHayAmor(1626)
el;6,18936099;6,168958743;5,764536971;6,915511027;6,568194201;6,544530912;6,857305449;7,974358974;6,067503414;6,257800976;7,508727388;7,493646542;7,042253521;7,026921322;7,053067369;6,665814533;6,979280262;6,098548558;6,627860828;5,758435825;7,382592361;6,513175767;6,651793577;6,954616227;8,292450259;5,729984301;6,55780197;7,689509676;7,785234899;6,404275172;7,128576353;5,747583102;6,802174719;5,852574392;6,712487153;5,667416795;6,028708134;6,382145654
que;5,948477752;5,232481991;5,656855707;4,551285967;5,218233549;5,198875919;5,164319249;4,931623932;5,313129999;4,975604221;4,880990162;4,808022529;4,433497537;5,560263347;5,05833647;5,13197418;4,767963165;4,821528686;5,483529567;5,310627562;5,253600501;4,869600652;4,667410321;5,339945793;5,151267375;5,396389325;4,976671851;4,925069111;4,754503709;4,979217915;4,950017235;5,36352801;5,066106512;5,395727868;5,177286742;5,264716333;5,153793575;5,181414774
de;3,553027768;4,322200393;4,084709261;4,35579449;4,061989225;3,885646347;4,39607341;5,324786325;3,615789816;4,32315897;4,030466519;4,704993475;4,641642961;3,637311779;4,04968009;4,096631942;3,6289834;3,993023111;3,757110729;3,777988016;4,245460238;4,856017387;4,097927552;4,152009688;4,285908967;4,075091575;4,173146708;4,750472865;4,457788767;4,114004581;3,971044467;3,959740432;3,774867169;3,852327448;3,943987667;3,79604406;3,793574846;4,00678674
y;2,770157243;2,70464964;2,290021536;2,712444254;2,342756825;3,242542153;2,89514867;2,897435897;3,050009755;2,921820039;2,824500159;3,331272752;3,101366822;2,731243074;2,898005269;2,716175625;3,071610324;2,85927864;2,182828416;2,453484705;2,886662492;2,574028797;3,657605824;2,698806297;2,950395203;2,459445317;2,652496976;3,186381493;3,044860473;2,782254644;2,819717339;2,450006622;2,570122328;2,734905544;2,80061665;2,854435627;2,822966507;2,571130253
ser;3,031114085;2,946954813;2,770997846;2,382552386;3,04497851;3,150670125;2,397211552;2,136752137;2,51024257;2,745943493;2,843541733;1,895734597;2,74058142;3,089759468;2,98080542;3,112417716;2,714164546;3,201893727;2,526789258;3,096814885;2,479649343;2,879652268;3,334703223;2,82567326;2,112292178;3,198587127;2,522896147;2,611668849;2,190038856;2,722877258;2,654257153;2,920143027;2,903743976;3,302876898;2,909815005;3,097240317;2,672590567;2,779953015
a;2,415523586;2,449246889;2,455132807;2,797971776;2,524365882;2,610246433;2,816901408;2,700854701;2,542758666;2,797004425;2,989527134;2,974105364;3,094428641;2,496577798;2,551750094;2,530836582;2,792923785;2,32355323;3,161793888;2,472406181;2,798998121;2,804944309;2,812188105;2,716106338;3,127555192;2,335164835;2,617936755;2,371599011;2,55033557;2,595640003;2,909341606;2,728115481;2,353886074;2,50030868;2,511562179;2,587942674;2,351332878;2,766901592
no;2,43559719;2,036673215;2,871500359;1,765532409;2,300381379;1,956333766;2,013088633;1,401709402;1,970475385;1,787132645;2,031101238;1,202005632;1,568028863;2,183690763;2,228076778;1,962037451;1,635768811;2,19273656;2,321735679;2,787764112;1,922354415;1,820157566;1,884576998;1,862637679;1,696647588;2,171637886;2,272334543;1,796886367;1,695513953;2,01034863;2,02688728;2,575817772;1,890522674;2,068156563;2,016957862;1,889138932;2,064251538;2,362307492
en;2,034125125;2,108709889;1,830581479;1,930478343;1,670803317;1,907695633;1,941954759;2,145299145;2,282629902;2,048110745;1,840685497;2,314719418;1,921876084;1,857766769;1,731275875;1,917300441;1,902338544;1,812745281;1,640428628;1,772311574;1,847213525;1,942406955;1,684964481;1,972204602;1,914690651;1,753008896;1,589770175;1,796886367;2,013422819;2,078208499;2,033781455;1,615680042;1,847275423;1,72860847;1,84352518;1,758853488;1,790840738;1,585747847
haber;1,987286718;1,650294695;1,722900215;1,374549453;1,59210606;1,47535668;1,55783184;1,384615385;1,456721077;1,565868603;1,516978737;1,181399821;1,311316173;1,368880777;1,377493414;1,712788394;1,672119229;1,625864324;1,448604313;1,671397036;1,853475266;1,759032872;1,579287266;1,585837034;1,226492232;1,654892726;1,935372386;1,491342936;1,427057577;1,348714904;1,427094105;1,569328566;1,476584703;1,679219657;1,291109969;1,705554898;1,770334928;1,683633516
me;1,605888257;1,741977734;1,852117732;1,588368257;1,404443368;1,432122784;1,436904254;0,888888889;1,489237172;1,361624872;1,129800063;0,920392884;1,255810726;1,623101493;1,189311253;1,265418291;1,151096571;1,669469881;1,653657891;1,28666036;1,120851597;1,358326542;1,23290084;1,510870192;0,8789861;1,367085296;1,632970451;1,527717154;1,236312257;1,136652812;1,144432954;1,893788902;1,186210305;1,148289912;1,175488181;1,652256307;1,298701299;1,468285043
mi;0,903312145;1,283562541;0,753768844;1,417313214;1,132029784;1,19433636;0,910513587;0,641025641;0,981986083;0,816974923;1,218660743;0,734940587;0,749323527;1,264585099;1,016183666;0,888349204;1,205622198;0,909487323;1,071570314;1,091138442;0,851596744;1,270035316;1,02154641;1,072602503;0,865358408;1,040031397;0,656644203;0,974829041;0,925468032;0,788870981;0,744570838;1,264733148;1,371555665;0,654401778;1,252569373;0,95937463;0,786056049;1,024536674
uno;1,023753764;0,674525213;1,091170136;1,008002932;0,950420728;0,988975357;0,967420686;0,931623932;1,007998959;1,083626461;0,945731514;0,906655677;1,033788941;0,814809986;0,888219797;1,067297245;0,908760451;1,183579393;0,906204524;0,958688111;0,958046337;0,957620212;0,939353021;1,095669223;0,865358408;0,928833072;1,105927078;0,807507639;0,826563052;0,839765883;0,95139607;0,940272812;0,889657729;1,154463514;1,111253854;1,101504205;1,312371839;1,194205168
por;0,990297758;0,864440079;0,933237617;0,946911846;1,053332526;1,086251621;1,01010101;0,871794872;1,014502179;1,083626461;1,091716915;1,016553335;1,11704711;0,893031745;1,17425668;0,875567201;0,908760451;0,840964306;0,780526525;1,179438663;0,857858485;0,964411845;0,915869195;0,766968456;1,008449169;0,93537415;1,019526525;1,083951695;1,01024373;0,822800916;0,944501896;0,834326579;0,994686766;1,086553896;1,040596095;0,829089186;1,004784689;1,05063952
con;1,003680161;1,07400131;0,969131371;0,806402346;0,811187118;0,653912668;1,372883767;1,017094017;0,910450673;1,004198343;0,863218026;1,009684731;1,075418025;1,082067662;0,955965374;0,8691762;0,836059615;1,183579393;1,025267893;0,744244718;1,133375078;0,896495518;0,886514413;0,96303558;0,797219951;1,020408163;1,045446691;1,294922159;1,179795125;0,907625753;0,834195105;1,019732486;0,747559619;0,648228176;0,918550874;0,988984958;1,134654819;0,894022448
este;0,769488123;0,713817944;0,832735104;0,867493433;0,853562564;1,075443147;0,71133874;1,051282051;1,007998959;0,896403041;0,894953983;0,927261488;0,728508985;0,651847989;0,745201355;0,843612194;0,957227675;0,666542079;1,018653261;0,958688111;1,008140263;0,937245314;0,974578759;0,899602099;0,756336877;0,784929356;0,665284258;0,880256074;0,798304486;0,950038171;0,965184419;0,701893789;0,920548622;1,185331522;0,674460432;0,900153974;0,909090909;0,770033934
su;0,789561726;0,812049771;0,732232592;0,855275215;0,932259822;0,821444012;0,768245839;1;0,669831567;0,771587428;1,009203427;1,229480047;0,94359259;0,932142624;0,760255928;0,977823225;0,823942809;0,585560331;0,985580103;0,64333018;0,882905448;0,808204292;0,710385722;0,795801857;1,165167621;0,654107797;0,725764645;0,822057326;0,868950901;1,280855034;0,820406756;0,840948219;0,778450513;0,611186566;0,828622816;0,592206562;0,697197539;0,939702428
se;0,976915356;0,890635232;1,019382627;0,580365325;0,799079847;0,56204064;0,946080524;0,837606838;0,942966769;0,771587428;0,8822596;0,748677794;0,707694443;0,834365426;0,752728641;0,837221193;0,769417182;1,08390955;0,661463157;0,876695049;0,90169067;0,679163271;0,587095638;0,732368376;0,790406105;0,941915228;1,02816658;0,778408264;0,72059343;0,704046145;0,737676663;0,814461661;0,599283331;0,84578343;0,912127441;1,006751155;0,820232399;0,848342469
qué;0,715958515;0,818598559;0,904522613;0,610910868;0,914098916;0,670125378;0,789586001;0,717948718;0,884437797;0,754567117;0,691843859;0,618174325;0,742385347;0,690958868;0,790365073;0,792484182;0,799709197;0,82227621;1,005423998;0,946073794;0,751408892;0,794621027;0,81019198;0,645868174;0,688198419;0,876504448;0,786245032;0,538338426;0,734722713;1,017898041;0,648052396;1,052840683;0,772272334;1,123595506;0,680883864;0,823167121;0,813397129;0,874445315
te;0,421545667;0,838244925;1,033740129;0,867493433;0,684060778;0,659316904;0,469483568;0,538461538;0,734863758;0,56167026;0,69819105;0,549488289;0,721570804;0,795254547;0,752728641;0,677446156;0,68459954;0,828505575;0,88636063;0,927152318;0,814026299;0,747079598;1,045030235;0,807335217;0,844916871;0,883045526;0,492483152;0,836607013;0,77004592;0,627703792;0,992761117;1,271354787;0,926726801;0,777873812;0,899280576;0,740258202;0,861244019;0,665622553
si;1,010371362;0,962671906;0,933237617;0,934693628;0,774865307;0,870082144;0,689998577;0,487179487;0,773883072;0,924770226;0,691843859;0,535751082;0,582807188;0,736588228;0,88069251;0,779702179;0,666424331;0,666542079;0,826828946;0,775780511;0,720100188;0,747079598;0,733869547;0,709301655;0,613246116;1,040031397;0,673924313;0,814782482;0,628753091;0,805835949;0,620475698;0,735001986;0,654886939;0,777873812;0,687307297;0,805400924;0,847573479;0,828765335
lo;1,090665775;0,825147348;0,811198851;0,604801759;0,889884376;0,659316904;0,768245839;0,504273504;0,92996033;1,129013957;0,583941606;0,453327838;0,735447166;0,821328466;0,79789236;0,8691762;0,751241973;1,021615897;0,707765577;0,719016083;0,651221039;0,733496333;0,569482769;0,593968053;0,60643227;0,739141811;0,751684811;0,596537174;0,416813847;0,661633726;0,503274733;0,867434777;0,667243297;1,000123472;0,783658787;0,983062892;0,854408749;1,004959541
yo;0,789561726;1,034708579;0,969131371;0,653674629;0,780918942;0,826848249;0,65443164;0,461538462;0,78688951;0,669465562;0,641066328;0,384641802;0,617498092;0,762662147;0,775310501;0,671055154;0,945110869;0,96555161;0,945892314;0,939766635;0,788979336;0,563705515;0,763224329;0,645868174;0,497410739;0,856881214;0,699844479;0,756583733;0,487460261;0,687081177;0,675629093;0,980002649;0,667243297;0,685269786;0,777235355;0,823167121;0,854408749;0,665622553
dar;0,615590498;1,001964637;0,710696339;0,751420368;0,786972577;0,643104194;0,540617442;0,555555556;0,585289718;0,663792125;0,641066328;0,64564874;0,86033442;0,651847989;0,684983064;0,658273151;0,908760451;0,766211923;0,575472946;0,901923683;0,770194114;0,665580005;0,68103094;0,974568941;0,681384573;0,909209838;0,7344047;0,611086862;0,713528788;0,551361439;0,710099966;0,860813137;0,636352403;1,172984319;0,713001028;0,681037546;0,888585099;0,724353955
